Date,Open,High,Low,Close,Adj Close,Volume
"Nov 18, 2020","2,300.00","2,600.00","2,280.00","2,500.00","2,322.57","236,148,000"
"Nov 11, 2020","2,140.00","2,370.00","2,120.00","2,300.00","2,136.76","266,075,700"
"Nov 4, 2020","2,010.00","2,230.00","1,980.00","2,190.00","2,034.57","329,840,300"
"Oct 28, 2020","2,030.00","2,050.00","2,000.00","2,010.00","1,867.35","46,063,300"
"Oct 21, 2020","2,110.00","2,140.00","2,000.00","2,030.00","1,885.93","70,809,900"
"Oct 14, 2020","2,190.00","2,230.00","2,080.00","2,090.00","1,941.67","71,251,700"
"Oct 7, 2020","2,100.00","2,240.00","2,090.00","2,190.00","2,034.57","83,084,900"
"Sep 30, 2020","2,010.00","2,220.00","1,975.00","2,120.00","1,969.54","84,611,700"
"Sep 23, 2020","2,040.00","2,080.00","1,920.00","1,990.00","1,848.77","87,924,400"
"Sep 16, 2020","2,200.00","2,210.00","2,000.00","2,030.00","1,885.93","56,764,800"
"Sep 9, 2020","2,220.00","2,290.00","1,920.00","2,200.00","2,043.86","129,365,700"
"Sep 2, 2020","2,420.00","2,450.00","2,230.00","2,240.00","2,081.02","113,692,500"
"Aug 26, 2020","2,500.00","2,590.00","2,390.00","2,420.00","2,248.25","104,584,600"
"Aug 19, 2020","2,520.00","2,580.00","2,480.00","2,480.00","2,303.99","40,709,800"
"Aug 12, 2020","2,430.00","2,640.00","2,410.00","2,520.00","2,341.15","136,012,300"
"Aug 5, 2020","2,440.00","2,560.00","2,380.00","2,410.00","2,238.96","104,035,400"
"Jul 29, 2020","2,700.00","2,710.00","2,330.00","2,440.00","2,266.83","192,576,600"
"Jul 22, 2020","2,900.00","2,920.00","2,710.00","2,730.00","2,536.25","53,217,700"
"Jul 15, 2020","2,970.00","2,990.00","2,780.00","2,840.00","2,638.44","29,881,100"
"Jul 8, 2020","2,910.00","3,010.00","2,860.00","2,970.00","2,759.21","33,006,300"
"Jul 1, 2020","2,800.00","3,070.00","2,700.00","2,900.00","2,694.18","54,131,500"
"Jun 24, 2020","2,690.00","2,820.00","2,630.00","2,770.00","2,573.41","44,421,500"
"Jun 17, 2020","2,650.00","2,810.00","2,610.00","2,690.00","2,499.09","57,096,600"
"Jun 10, 2020","2,660.00","2,760.00","2,430.00","2,610.00","2,424.76","75,261,500"
"Jun 3, 2020","2,590.00","2,810.00","2,540.00","2,650.00","2,461.92","86,374,700"
"May 27, 2020","2,460.00","2,660.00","2,430.00","2,570.00","2,369.17","100,858,300"
"May 20, 2020","2,470.00","2,510.00","2,380.00","2,430.00","2,240.11","36,344,600"
"May 13, 2020","2,280.00","2,580.00","2,250.00","2,480.00","2,286.20","89,642,400"
"May 6, 2020","2,440.00","2,530.00","2,280.00","2,290.00","2,111.05","111,867,000"
"Apr 29, 2020","2,500.00","2,730.00","2,390.00","2,420.00","2,230.89","71,546,000"
"Apr 22, 2020","2,280.00","2,670.00","2,240.00","2,550.00","2,350.73","76,793,600"
"Apr 15, 2020","2,340.00","2,480.00","2,110.00","2,300.00","2,120.26","77,177,300"
"Apr 8, 2020","2,260.00","2,330.00","2,110.00","2,270.00","2,092.61","51,719,100"
"Apr 1, 2020","1,990.00","2,580.00","1,895.00","2,280.00","2,101.83","83,861,900"
"Mar 25, 2020","1,410.00","2,130.00","1,410.00","2,000.00","1,843.71","121,951,600"
"Mar 18, 2020","1,600.00","1,615.00","1,315.00","1,410.00","1,299.81","121,479,900"
"Mar 11, 2020","2,100.00","2,190.00","1,560.00","1,575.00","1,451.92","97,781,100"
"Mar 4, 2020","2,500.00","2,580.00","1,995.00","2,130.00","1,963.55","83,956,600"
"Feb 26, 2020","2,580.00","2,610.00","2,290.00","2,500.00","2,304.64","79,766,800"
"Feb 19, 2020","2,720.00","2,790.00","2,430.00","2,580.00","2,378.38","63,506,100"
"Feb 12, 2020","2,880.00","2,880.00","2,550.00","2,720.00","2,507.44","86,155,100"
"Feb 5, 2020","2,850.00","2,950.00","2,700.00","2,860.00","2,636.50","149,588,000"
"Jan 29, 2020","3,070.00","3,080.00","2,810.00","2,840.00","2,618.07","45,218,300"
"Jan 22, 2020","3,280.00","3,280.00","3,000.00","3,050.00","2,811.66","29,917,600"
"Jan 15, 2020","3,300.00","3,390.00","3,210.00","3,300.00","3,042.12","36,252,300"
"Jan 8, 2020","3,250.00","3,330.00","3,190.00","3,330.00","3,069.77","43,873,900"
"Jan 1, 2020","3,150.00","3,270.00","3,140.00","3,250.00","2,996.03","14,558,600"
"Dec 25, 2019","3,310.00","3,310.00","3,150.00","3,150.00","2,903.84","13,839,000"
"Dec 18, 2019","3,310.00","3,360.00","3,220.00","3,310.00","3,051.34","34,111,100"
"Dec 11, 2019","3,290.00","3,320.00","3,190.00","3,310.00","3,051.34","43,004,800"
"Dec 4, 2019","3,420.00","3,430.00","3,250.00","3,300.00","3,042.12","48,175,400"
"Nov 27, 2019","3,490.00","3,490.00","3,070.00","3,420.00","3,152.74","69,857,500"
"Nov 20, 2019","3,550.00","3,590.00","3,460.00","3,490.00","3,217.27","329,302,200"
"Nov 13, 2019","3,460.00","3,550.00","3,400.00","3,530.00","3,254.15","99,496,200"
"Nov 6, 2019","3,510.00","3,730.00","3,260.00","3,460.00","3,189.62","139,296,900"
"Oct 30, 2019","3,520.00","3,610.00","3,450.00","3,500.00","3,226.49","83,012,000"
"Oct 23, 2019","3,510.00","3,550.00","3,380.00","3,520.00","3,244.93","52,745,900"
"Oct 16, 2019","3,550.00","3,550.00","3,400.00","3,520.00","3,244.93","38,636,200"
"Oct 9, 2019","3,450.00","3,550.00","3,430.00","3,530.00","3,254.15","49,980,700"
"Oct 2, 2019","3,410.00","3,490.00","3,260.00","3,450.00","3,180.40","43,636,600"
"Sep 25, 2019","3,290.00","3,550.00","3,220.00","3,450.00","3,180.40","50,575,700"
"Sep 18, 2019","3,470.00","3,550.00","3,260.00","3,290.00","3,032.90","45,370,900"
"Sep 11, 2019","3,280.00","3,480.00","3,230.00","3,440.00","3,171.18","81,080,400"
"Sep 4, 2019","3,500.00","3,600.00","3,150.00","3,280.00","3,023.68","131,694,800"
"Aug 28, 2019","3,380.00","3,660.00","3,290.00","3,500.00","3,226.49","58,330,800"
"Aug 21, 2019","3,250.00","3,400.00","3,210.00","3,380.00","3,115.87","51,986,000"
"Aug 14, 2019","3,400.00","3,400.00","3,180.00","3,250.00","2,996.03","56,654,600"
"Aug 7, 2019","3,170.00","3,450.00","3,170.00","3,340.00","3,078.99","57,727,700"
"Jul 31, 2019","3,360.00","3,380.00","3,050.00","3,140.00","2,894.62","79,712,500"
"Jul 24, 2019","3,160.00","3,420.00","3,010.00","3,300.00","3,042.12","105,760,600"
"Jul 17, 2019","2,940.00","3,220.00","2,910.00","3,160.00","2,913.06","68,369,500"
"Jul 10, 2019","2,950.00","2,970.00","2,850.00","2,940.00","2,710.25","28,751,800"
"Jul 3, 2019","2,960.00","2,990.00","2,810.00","2,930.00","2,701.03","30,255,000"
"Jun 26, 2019","2,870.00","3,040.00","2,870.00","2,960.00","2,728.69","37,136,800"
"Jun 19, 2019","2,920.00","3,050.00","2,830.00","2,860.00","2,636.50","34,025,000"
"Jun 12, 2019","2,980.00","2,980.00","2,810.00","2,910.00","2,682.60","28,308,000"
"Jun 5, 2019","2,860.00","3,020.00","2,860.00","2,940.00","2,710.25","20,251,500"
"May 29, 2019","2,790.00","2,980.00","2,790.00","2,860.00","2,636.50","30,087,300"
"May 22, 2019","2,670.00","2,880.00","2,580.00","2,790.00","2,571.97","33,300,900"
"May 15, 2019","2,780.00","2,810.00","2,420.00","2,670.00","2,461.35","43,877,000"
"May 8, 2019","2,970.00","3,040.00","2,690.00","2,770.00","2,553.54","68,596,100"
"May 1, 2019","2,920.00","3,070.00","2,640.00","2,980.00","2,747.13","91,464,500"
"Apr 24, 2019","2,970.00","2,980.00","2,820.00","2,920.00","2,691.81","48,106,800"
"Apr 17, 2019","2,760.00","2,960.00","2,720.00","2,930.00","2,701.03","96,801,000"
"Apr 10, 2019","2,550.00","2,890.00","2,510.00","2,760.00","2,544.32","73,135,700"
"Apr 3, 2019","2,680.00","2,700.00","2,510.00","2,550.00","2,350.73","22,866,100"
"Mar 27, 2019","2,690.00","2,750.00","2,610.00","2,680.00","2,470.57","27,102,900"
"Mar 20, 2019","2,650.00","2,760.00","2,550.00","2,680.00","2,470.57","43,467,800"
"Mar 13, 2019","2,520.00","2,730.00","2,480.00","2,650.00","2,442.91","87,867,500"
"Mar 6, 2019","2,400.00","2,480.00","2,310.00","2,460.00","2,267.76","46,797,000"
"Feb 27, 2019","2,500.00","2,530.00","2,330.00","2,400.00","2,212.45","98,976,200"
"Feb 20, 2019","2,670.00","2,680.00","2,410.00","2,500.00","2,304.64","105,227,600"
"Feb 13, 2019","2,090.00","2,660.00","1,995.00","2,610.00","2,406.04","426,779,800"
"Feb 6, 2019","2,130.00","2,230.00","2,040.00","2,070.00","1,908.24","135,138,100"
"Jan 30, 2019","2,070.00","2,190.00","2,060.00","2,120.00","1,954.33","54,953,600"
"Jan 23, 2019","2,270.00","2,370.00","2,040.00","2,060.00","1,899.02","142,210,300"
"Jan 16, 2019","2,190.00","2,370.00","2,170.00","2,270.00","2,092.61","108,093,400"
"Jan 9, 2019","2,210.00","2,270.00","2,110.00","2,190.00","2,018.86","87,347,300"
"Jan 2, 2019","2,020.00","2,200.00","1,955.00","2,190.00","2,018.86","119,673,000"
"Dec 26, 2018","2,050.00","2,050.00","1,930.00","1,980.00","1,825.27","46,149,000"
"Dec 19, 2018","1,950.00","2,100.00","1,940.00","2,050.00","1,889.80","78,307,300"
"Dec 12, 2018","1,885.00","1,990.00","1,880.00","1,935.00","1,783.79","53,337,400"
"Dec 5, 2018","1,965.00","2,020.00","1,875.00","1,880.00","1,733.09","76,252,800"
"Nov 28, 2018","2,180.00","2,190.00","1,950.00","1,980.00","1,825.27","71,886,400"
"Nov 21, 2018","2,170.00","2,280.00","2,150.00","2,200.00","2,028.08","30,190,300"
"Nov 14, 2018","2,120.00","2,240.00","2,100.00","2,190.00","2,018.86","52,864,200"
"Nov 7, 2018","2,250.00","2,300.00","2,090.00","2,120.00","1,954.33","105,870,300"
"Oct 31, 2018","2,640.00","2,670.00","2,000.00","2,230.00","2,055.73","213,242,500"
"Oct 24, 2018","2,790.00","2,810.00","2,600.00","2,630.00","2,424.48","25,790,600"
"Oct 17, 2018","2,820.00","2,900.00","2,750.00","2,820.00","2,599.63","38,185,600"
"Oct 10, 2018","2,880.00","2,900.00","2,660.00","2,790.00","2,571.97","40,330,100"
"Oct 3, 2018","2,750.00","2,990.00","2,740.00","2,880.00","2,654.94","55,245,900"
"Sep 26, 2018","2,790.00","2,870.00","2,700.00","2,750.00","2,535.10","35,344,700"
"Sep 19, 2018","2,970.00","3,020.00","2,770.00","2,790.00","2,571.97","39,506,600"
"Sep 12, 2018","2,910.00","3,050.00","2,890.00","2,960.00","2,728.69","32,752,400"
"Sep 5, 2018","2,900.00","2,990.00","2,750.00","2,900.00","2,673.38","37,968,600"
"Aug 29, 2018","2,940.00","3,180.00","2,880.00","2,910.00","2,682.60","35,955,000"
"Aug 22, 2018","3,050.00","3,120.00","2,880.00","2,940.00","2,710.25","31,331,500"
"Aug 15, 2018","2,730.00","3,050.00","2,640.00","3,050.00","2,811.66","47,147,000"
"Aug 8, 2018","3,080.00","3,190.00","2,720.00","2,730.00","2,516.66","77,199,500"
